kind,duty_deg_per_s,J,label,params
search,0.9178,-63.027,random r=0.667 qt=0.317,"{""horizon"": 10, ""r"": 0.667, ""qt"": 0.317, ""wc_v"": 1.15, ""tau_adapt"": 2.09, ""adapt"": ""offset""}"
search,3.7288,3.373,random r=0.0756 qt=0.719,"{""horizon"": 20, ""r"": 0.0756, ""qt"": 0.719, ""wc_v"": 0.356, ""tau_adapt"": 21.8, ""adapt"": ""offset""}"
search,3.0623,-48.95,random r=0.143 qt=0.11,"{""horizon"": 20, ""r"": 0.143, ""qt"": 0.11, ""wc_v"": 0.154, ""tau_adapt"": 29.6, ""adapt"": ""rls""}"
search,0.3707,-29.827,random r=0.723 qt=0.137,"{""horizon"": 10, ""r"": 0.723, ""qt"": 0.137, ""wc_v"": 0.11, ""tau_adapt"": 17.8, ""adapt"": ""offset""}"
search,1.6672,-47.52,random r=0.124 qt=0.611,"{""horizon"": 10, ""r"": 0.124, ""qt"": 0.611, ""wc_v"": 0.127, ""tau_adapt"": 1.8, ""adapt"": ""rls""}"
search,0.2224,-3.118,random r=1.43 qt=1.43,"{""horizon"": 15, ""r"": 1.43, ""qt"": 1.43, ""wc_v"": 0.141, ""tau_adapt"": 12.4, ""adapt"": ""offset""}"
search,4.0779,-49.729,random r=0.0399 qt=3.04,"{""horizon"": 30, ""r"": 0.0399, ""qt"": 3.04, ""wc_v"": 1.13, ""tau_adapt"": 1.1, ""adapt"": ""offset""}"
search,4.0589,-54.033,random r=0.072 qt=0.17,"{""horizon"": 15, ""r"": 0.072, ""qt"": 0.17, ""wc_v"": 0.105, ""tau_adapt"": 2.71, ""adapt"": ""rls""}"
search,2.0759,5.09,random r=0.291 qt=13,"{""horizon"": 30, ""r"": 0.291, ""qt"": 13.0, ""wc_v"": 0.18, ""tau_adapt"": 2.92, ""adapt"": ""rls""}"
search,4.5948,-34.365,random r=0.0475 qt=15.9,"{""horizon"": 30, ""r"": 0.0475, ""qt"": 15.9, ""wc_v"": 0.212, ""tau_adapt"": 2.99, ""adapt"": ""rls""}"
search,0.2,-22.973,random r=2.74 qt=5.49,"{""horizon"": 15, ""r"": 2.74, ""qt"": 5.49, ""wc_v"": 0.767, ""tau_adapt"": 15.4, ""adapt"": ""offset""}"
